task_id,iteration,agent,start_time,end_time,latency,input_tokens,output_tokens,first_token_latency,decode_speed_tps,gpu_memory_mb,kv_cache_usage_pct,transition_time,success,error_msg,timestamp
astropy__astropy-14365,0,planning,1769075235.671104,1769075246.2190936,10.548,511,403,0.0633,38.44,42039,,,,,2026-01-22T09:47:26.322653
astropy__astropy-12907,0,planning,1769075234.6693828,1769075248.620849,13.9515,388,526,0.0496,37.84,42039,,,,,2026-01-22T09:47:28.733646
astropy__astropy-14182,0,planning,1769075235.1708689,1769075249.4133506,14.2425,575,525,0.0814,37.07,42039,,,,,2026-01-22T09:47:29.512493
astropy__astropy-6938,0,planning,1769075236.6708322,1769075250.1244097,13.4536,184,486,0.052,36.26,42039,,,,,2026-01-22T09:47:30.211506
astropy__astropy-7746,0,planning,1769075237.171781,1769075250.712313,13.5405,635,481,0.0744,35.72,42039,,,,,2026-01-22T09:47:30.793938
django__django-10914,0,planning,1769075237.668172,1769075252.4140062,14.7458,273,514,0.0646,35.01,42039,,,,,2026-01-22T09:47:32.524460
django__django-10924,0,planning,1769075238.1694202,1769075253.740605,15.5712,233,534,0.052,34.41,42039,,,,,2026-01-22T09:47:33.794411
django__django-11099,0,planning,1769075240.6693945,1769075254.149678,13.4803,229,444,0.0641,33.09,42039,,,,,2026-01-22T09:47:34.263697
django__django-11039,0,planning,1769075239.6694431,1769075254.8465226,15.1771,248,498,0.0649,32.95,42039,,,,,2026-01-22T09:47:35.045267
django__django-11019,0,planning,1769075239.1711874,1769075256.1532512,16.9821,456,561,0.0644,33.16,42039,,,,,2026-01-22T09:47:36.276175
django__django-11001,0,planning,1769075238.6706212,1769075256.2015107,17.5309,571,581,0.0836,33.3,42039,,,,,2026-01-22T09:47:36.350701
django__django-11179,0,planning,1769075241.6701577,1769075256.349815,14.6797,126,467,0.042,31.9,42039,,,,,2026-01-22T09:47:36.407525
django__django-11049,0,planning,1769075240.1691074,1769075256.6213777,16.4523,227,529,0.0664,32.28,42039,,,,,2026-01-22T09:47:36.754511
django__django-11283,0,planning,1769075242.1743612,1769075257.1782646,15.0039,328,464,0.0785,31.09,42039,,,,,2026-01-22T09:47:37.319292
django__django-11133,0,planning,1769075241.1688118,1769075257.2991629,16.1304,246,508,0.0683,31.63,42039,,,,,2026-01-22T09:47:37.414663
astropy__astropy-14365,0,coding,1769075246.3244543,1769075258.8191333,12.4947,879,358,0.122,28.93,42039,,0.1054,,,2026-01-22T09:47:38.977740
astropy__astropy-14365,0,debugging,1769075258.9783237,1769075259.2053533,0.227,1261,1,0.1818,22.11,42039,,0.1592,True,,2026-01-22T09:47:39.283034
django__django-11422,0,planning,1769075242.6692767,1769075260.9147646,18.2455,260,543,0.0747,29.88,42039,,,,,2026-01-22T09:47:41.088350
django__django-11564,0,planning,1769075243.1768005,1769075262.5748959,19.3981,275,567,0.0518,29.31,42039,,,,,2026-01-22T09:47:42.719342
django__django-11620,0,planning,1769075244.1692226,1769075264.36047,20.1912,246,578,0.0553,28.7,42039,,,,,2026-01-22T09:47:44.556938
django__django-11099,0,coding,1769075254.2649195,1769075264.8244605,10.5595,640,269,0.1163,25.76,42039,,0.1152,,,2026-01-22T09:47:45.013150
django__django-11099,0,debugging,1769075265.0138927,1769075265.257619,0.2437,933,1,0.1893,18.37,42039,,0.1894,True,,2026-01-22T09:47:45.391483
django__django-11630,0,planning,1769075244.6692398,1769075265.603497,20.9343,217,588,0.0716,28.18,42039,,,,,2026-01-22T09:47:45.800049
astropy__astropy-6938,0,coding,1769075250.212058,1769075266.3830442,16.171,635,425,0.126,26.49,42039,,0.0876,,,2026-01-22T09:47:46.603265
django__django-11910,0,planning,1769075247.6687522,1769075266.571474,18.9027,350,507,0.1102,26.98,42039,,,,,2026-01-22T09:47:46.703138
django__django-11797,0,planning,1769075245.6701303,1769075266.9994094,21.3293,284,582,0.0736,27.38,42039,,,,,2026-01-22T09:47:47.243251
django__django-11179,0,coding,1769075256.4081273,1769075267.0151749,10.607,560,258,0.2169,24.83,42039,,0.0583,,,2026-01-22T09:47:47.308638
astropy__astropy-6938,0,debugging,1769075266.606865,1769075266.969581,0.3627,1084,1,0.1795,5.46,42039,,0.2238,True,,2026-01-22T09:47:47.336619
django__django-11583,0,planning,1769075243.7677636,1769075267.3757944,23.608,1415,658,0.1455,28.04,42039,,,,,2026-01-22T09:47:47.561513
django__django-11179,0,debugging,1769075267.3826692,1769075267.8734167,0.4907,842,1,0.3154,5.7,42039,,0.3675,True,,2026-01-22T09:47:48.106826
django__django-12113,0,planning,1769075249.1825724,1769075268.7224345,19.5399,1282,502,0.1506,25.89,42039,,,,,2026-01-22T09:47:48.986844
astropy__astropy-14995,0,planning,1769075236.169597,1769075269.9041195,33.7345,804,1009,0.1014,30.0,42039,,,,,2026-01-22T09:47:50.159620
django__django-11848,0,planning,1769075246.6826746,1769075270.055333,23.3727,222,613,0.0779,26.31,42039,,,,,2026-01-22T09:47:50.384280
django__django-12308,0,planning,1769075251.6692004,1769075270.915715,19.2465,161,474,0.0752,24.72,42039,,,,,2026-01-22T09:47:51.304911
django__django-11742,0,planning,1769075245.1699984,1769075270.9077852,25.7378,128,681,0.0741,26.54,42039,,,,,2026-01-22T09:47:51.375999
django__django-12125,0,planning,1769075249.66949,1769075271.122096,21.4526,424,539,0.1224,25.27,42039,,,,,2026-01-22T09:47:51.498730
django__django-11815,0,planning,1769075246.1704867,1769075272.0346115,25.8641,418,663,0.0961,25.73,42039,,,,,2026-01-22T09:47:52.998091
django__django-12184,0,planning,1769075250.184268,1769075272.5477855,22.3635,317,550,0.0823,24.68,42039,,,,,2026-01-22T09:47:53.006170
django__django-11039,0,coding,1769075255.0460696,1769075272.4422092,17.3961,713,400,0.1273,23.16,42039,,0.1995,,,2026-01-22T09:47:53.059231
django__django-12497,0,planning,1769075253.1905918,1769075272.272333,19.0817,234,453,0.0922,23.86,42039,,,,,2026-01-22T09:47:53.084015
django__django-11999,0,planning,1769075248.6802123,1769075272.394196,23.714,206,591,0.0835,25.01,42039,,,,,2026-01-22T09:47:53.124137
django__django-12453,0,planning,1769075252.169606,1769075273.2065902,21.037,658,508,0.1526,24.32,42039,,,,,2026-01-22T09:47:53.332570
django__django-11039,0,debugging,1769075273.1191566,1769075273.9184592,0.7993,1137,1,0.6267,5.8,42039,,0.6769,True,,2026-01-22T09:47:54.337234
django__django-11905,0,planning,1769075247.1700075,1769075274.3718715,27.2019,157,678,0.0817,25.0,42039,,,,,2026-01-22T09:47:54.737609
django__django-10914,0,coding,1769075252.5249949,1769075274.4175332,21.8925,754,514,0.145,23.63,42039,,0.111,,,2026-01-22T09:47:54.743434
django__django-12700,0,planning,1769075254.1884866,1769075274.4557557,20.2673,522,467,0.0994,23.16,42039,,,,,2026-01-22T09:47:54.750387
django__django-10924,0,coding,1769075253.7949114,1769075274.783549,20.9886,734,486,0.1149,23.28,42039,,0.0543,,,2026-01-22T09:47:54.899153
django__django-10924,0,debugging,1769075274.8996582,1769075275.308699,0.409,1244,1,0.3508,17.17,42039,,0.1161,True,,2026-01-22T09:47:55.551218
django__django-10914,0,debugging,1769075274.7442498,1769075275.2620113,0.5178,1292,1,0.4457,13.88,42039,,0.3267,True,,2026-01-22T09:47:55.579846
django__django-12284,0,planning,1769075250.6878335,1769075275.271113,24.5833,287,582,0.0815,23.75,42039,,,,,2026-01-22T09:47:55.579492
