task_id,iteration,agent,start_time,end_time,latency,input_tokens,output_tokens,first_token_latency,decode_speed_tps,gpu_memory_mb,kv_cache_usage_pct,transition_time,success,error_msg,timestamp
astropy__astropy-12907,0,planning,1768814749.980545,1768814763.314132,13.3336,388,470,2.7945,44.6,42095,,,,,2026-01-19T09:26:03.408515
astropy__astropy-12907,0,coding,1768814763.410527,1768814774.9183633,11.5078,823,515,0.0974,45.13,42095,,0.0964,,,2026-01-19T09:26:15.002008
astropy__astropy-12907,0,debugging,1768814775.0034423,1768814775.163843,0.1604,1362,1,0.1362,41.33,42095,,0.0851,True,,2026-01-19T09:26:15.228688
astropy__astropy-14182,0,planning,1768814775.2339568,1768814786.2172577,10.9833,575,488,0.0683,44.71,42095,,,,,2026-01-19T09:26:26.302226
astropy__astropy-14182,0,coding,1768814786.303731,1768814794.218866,7.9151,1028,353,0.1044,45.19,42095,,0.0865,,,2026-01-19T09:26:34.306011
astropy__astropy-14182,0,debugging,1768814794.3073704,1768814794.4653184,0.1579,1405,1,0.1334,40.66,42095,,0.0885,True,,2026-01-19T09:26:34.569353
astropy__astropy-14365,0,planning,1768814794.574152,1768814802.5019357,7.9278,511,357,0.0619,45.39,42095,,,,,2026-01-19T09:26:42.585818
astropy__astropy-14365,0,coding,1768814802.5874832,1768814811.578493,8.991,833,403,0.0926,45.29,42095,,0.0855,,,2026-01-19T09:26:51.687366
astropy__astropy-14365,0,debugging,1768814811.6896832,1768814811.8398805,0.1502,1260,1,0.1261,41.48,42095,,0.1112,True,,2026-01-19T09:26:51.905497
astropy__astropy-14995,0,planning,1768814811.910987,1768814823.3994277,11.4884,804,516,0.0888,45.26,42095,,,,,2026-01-19T09:27:03.485672
astropy__astropy-14995,0,coding,1768814823.4869337,1768814829.1744144,5.6875,1285,251,0.1247,45.12,42095,,0.0875,,,2026-01-19T09:27:09.262135
astropy__astropy-14995,0,debugging,1768814829.2633948,1768814831.6801748,2.4168,1560,102,0.1517,45.03,42095,,0.089,True,,2026-01-19T09:27:11.769753
astropy__astropy-6938,0,planning,1768814831.774401,1768814842.6191795,10.8448,184,492,0.0473,45.57,42095,,,,,2026-01-19T09:27:22.701542
astropy__astropy-6938,0,coding,1768814842.7028043,1768814851.5750802,8.8723,641,399,0.0712,45.34,42095,,0.0836,,,2026-01-19T09:27:31.661950
astropy__astropy-6938,0,debugging,1768814851.6632144,1768814851.8016863,0.1385,1064,1,0.1144,41.61,42095,,0.0881,True,,2026-01-19T09:27:31.905907
astropy__astropy-7746,0,planning,1768814851.9106698,1768814863.6924412,11.7818,635,531,0.0707,45.34,42095,,,,,2026-01-19T09:27:43.785886
astropy__astropy-7746,0,coding,1768814863.7871451,1768814877.5063624,13.7192,1131,614,0.1171,45.14,42095,,0.0947,,,2026-01-19T09:27:57.595286
astropy__astropy-7746,0,debugging,1768814877.5967247,1768814877.7889583,0.1922,1769,1,0.1682,41.67,42095,,0.0904,True,,2026-01-19T09:27:57.875830
django__django-10914,0,planning,1768814877.8813417,1768814890.6650004,12.7837,273,579,0.0536,45.48,42095,,,,,2026-01-19T09:28:10.749906
django__django-10914,0,coding,1768814890.751212,1768814900.2805998,9.5294,819,427,0.0943,45.26,42095,,0.0862,,,2026-01-19T09:28:20.366438
django__django-10914,0,debugging,1768814900.36774,1768814900.5162373,0.1485,1270,1,0.1244,41.49,42095,,0.0871,True,,2026-01-19T09:28:20.602193
django__django-10924,0,planning,1768814900.6069334,1768814915.300935,14.694,233,666,0.0483,45.47,42095,,,,,2026-01-19T09:28:35.385647
django__django-10924,0,coding,1768814915.3868854,1768814923.1940181,7.8071,866,349,0.0931,45.24,42095,,0.086,,,2026-01-19T09:28:43.276523
django__django-10924,0,debugging,1768814923.277751,1768814923.4259832,0.1482,1239,1,0.1239,41.03,42095,,0.0837,True,,2026-01-19T09:28:43.509759
django__django-11001,0,planning,1768814923.5147383,1768814936.3948357,12.8801,571,581,0.0673,45.35,42095,,,,,2026-01-19T09:28:56.477678
django__django-11001,0,coding,1768814936.4789019,1768814946.0989301,9.62,1119,429,0.1186,45.15,42095,,0.0841,,,2026-01-19T09:29:06.181391
django__django-11001,0,debugging,1768814946.182619,1768814946.3589706,0.1764,1572,1,0.1522,41.45,42095,,0.0837,True,,2026-01-19T09:29:06.442405
django__django-11019,0,planning,1768814946.4474,1768814959.249675,12.8023,456,578,0.0623,45.37,42095,,,,,2026-01-19T09:29:19.374506
django__django-11019,0,coding,1768814959.3758621,1768814970.629232,11.2534,1001,504,0.1013,45.19,42095,,0.1262,,,2026-01-19T09:29:30.731952
django__django-11019,0,debugging,1768814970.7341285,1768814970.9058416,0.1717,1529,1,0.1477,41.63,42095,,0.1049,True,,2026-01-19T09:29:30.990323
