task_id,iteration,agent,start_time,end_time,latency,input_tokens,output_tokens,first_token_latency,decode_speed_tps,gpu_memory_mb,kv_cache_usage_pct,transition_time,success,error_msg,timestamp
astropy__astropy-14365,0,planning,1769096292.988361,1769096302.53978,9.5514,511,398,0.0587,41.93,42037,,,,,2026-01-22T15:38:22.589194
astropy__astropy-6938,0,planning,1769096294.9886549,1769096306.0630584,11.0744,184,451,0.0486,40.9,42037,,,,,2026-01-22T15:38:26.127935
astropy__astropy-12907,0,planning,1769096291.1645901,1769096307.2487943,16.0842,388,663,0.0505,41.35,42037,,,,,2026-01-22T15:38:27.355959
astropy__astropy-14995,0,planning,1769096293.992093,1769096307.6495316,13.6574,804,553,0.0474,40.63,42037,,,,,2026-01-22T15:38:27.708352
astropy__astropy-14182,0,planning,1769096291.9892178,1769096309.3147783,17.3256,575,704,0.0435,40.74,42037,,,,,2026-01-22T15:38:29.413492
django__django-10914,0,planning,1769096296.9894493,1769096311.9859886,14.9965,273,581,0.055,38.88,42037,,,,,2026-01-22T15:38:32.048314
django__django-11039,0,planning,1769096300.9909315,1769096312.347531,11.3566,248,428,0.0455,37.84,42037,,,,,2026-01-22T15:38:32.415019
astropy__astropy-7746,0,planning,1769096295.9910526,1769096313.1360514,17.145,635,664,0.059,38.86,42037,,,,,2026-01-22T15:38:33.243644
django__django-11019,0,planning,1769096299.9919834,1769096313.5034785,13.5115,456,510,0.0431,37.87,42037,,,,,2026-01-22T15:38:33.567643
django__django-11001,0,planning,1769096298.9885256,1769096313.5561895,14.5677,571,553,0.0519,38.1,42037,,,,,2026-01-22T15:38:33.634576
django__django-11099,0,planning,1769096302.989784,1769096314.430947,11.4412,229,417,0.0562,36.63,42037,,,,,2026-01-22T15:38:34.547226
django__django-10924,0,planning,1769096297.991376,1769096315.566888,17.5755,233,662,0.0525,37.78,42037,,,,,2026-01-22T15:38:35.676177
django__django-11049,0,planning,1769096301.9959092,1769096316.2207701,14.2249,227,519,0.0506,36.62,42037,,,,,2026-01-22T15:38:36.336106
astropy__astropy-6938,0,coding,1769096306.137279,1769096316.2808232,10.1435,600,356,0.0986,35.44,42037,,0.0742,,,2026-01-22T15:38:36.378708
astropy__astropy-6938,0,debugging,1769096316.3925016,1769096316.5379682,0.1455,980,1,0.1165,34.57,42037,,0.1117,True,,2026-01-22T15:38:36.627505
astropy__astropy-14365,0,coding,1769096302.5902736,1769096318.5187852,15.9285,874,572,0.0814,36.09,42037,,0.0505,,,2026-01-22T15:38:38.631012
django__django-11179,0,planning,1769096304.9888134,1769096318.8892264,13.9004,126,488,0.0584,35.26,42037,,,,,2026-01-22T15:38:38.990230
django__django-11283,0,planning,1769096305.9901452,1769096320.1290905,14.1389,328,489,0.0618,34.74,42037,,,,,2026-01-22T15:38:40.233001
django__django-11133,0,planning,1769096303.9888313,1769096320.4107323,16.4219,246,577,0.0606,35.27,42037,,,,,2026-01-22T15:38:40.512210
astropy__astropy-14995,0,coding,1769096307.7120042,1769096321.133498,13.4215,1322,457,0.0527,34.18,42037,,0.0625,,,2026-01-22T15:38:41.237401
astropy__astropy-14995,0,debugging,1769096321.238,1769096321.3889492,0.1509,1803,1,0.1148,27.67,42037,,0.1045,True,,2026-01-22T15:38:41.485657
astropy__astropy-14365,0,debugging,1769096318.6317506,1769096321.4794939,2.8477,1470,88,0.1335,32.42,42037,,0.113,True,,2026-01-22T15:38:41.586626
django__django-11422,0,planning,1769096306.9899437,1769096322.4603655,15.4704,260,527,0.0614,34.2,42037,,,,,2026-01-22T15:38:42.526010
django__django-10914,0,coding,1769096312.0491748,1769096323.1115432,11.0624,821,366,0.0701,33.3,42037,,0.0632,,,2026-01-22T15:38:43.227621
django__django-10914,0,debugging,1769096323.2282674,1769096323.3378448,0.1096,1211,1,0.081,34.98,42037,,0.1167,True,,2026-01-22T15:38:43.438809
astropy__astropy-12907,0,coding,1769096307.3566496,1769096323.9046555,16.548,1016,560,0.1016,34.05,42037,,0.1079,,,2026-01-22T15:38:44.020020
astropy__astropy-12907,0,debugging,1769096324.0208232,1769096324.1924775,0.1717,1600,1,0.1438,35.88,42037,,0.1162,True,,2026-01-22T15:38:44.268775
django__django-11039,0,coding,1769096312.4162745,1769096324.5472083,12.1309,643,399,0.0694,33.08,42037,,0.0687,,,2026-01-22T15:38:44.637001
django__django-11039,0,debugging,1769096324.6376085,1769096324.7477667,0.1102,1066,1,0.068,23.72,42037,,0.0904,True,,2026-01-22T15:38:44.841030
