task_id,iteration,agent,start_time,end_time,latency,input_tokens,output_tokens,first_token_latency,decode_speed_tps,gpu_memory_mb,kv_cache_usage_pct,transition_time,success,error_msg,timestamp
astropy__astropy-12907,0,planning,1769096200.4559598,1769096212.375354,11.9194,388,500,0.0563,42.15,42037,,,,,2026-01-22T15:36:52.443081
astropy__astropy-14182,0,planning,1769096201.2808568,1769096212.9179792,11.6371,575,483,0.0495,41.68,42037,,,,,2026-01-22T15:36:52.978754
astropy__astropy-14365,0,planning,1769096202.2800913,1769096213.0766535,10.7966,511,445,0.0408,41.37,42037,,,,,2026-01-22T15:36:53.185171
astropy__astropy-6938,0,planning,1769096204.2799377,1769096214.0575757,9.7776,184,395,0.0603,40.65,42037,,,,,2026-01-22T15:36:54.116147
astropy__astropy-14995,0,planning,1769096203.28004,1769096217.0271788,13.7471,804,553,0.0553,40.39,42037,,,,,2026-01-22T15:36:57.089409
astropy__astropy-6938,0,coding,1769096214.116756,1769096217.975339,3.8586,544,142,0.0901,37.68,42037,,0.0592,,,2026-01-22T15:36:58.037605
astropy__astropy-6938,0,debugging,1769096218.0383344,1769096218.1543355,0.116,710,1,0.0917,41.19,42037,,0.063,True,,2026-01-22T15:36:58.243463
django__django-11001,0,planning,1769096208.2839618,1769096221.001487,12.7175,571,483,0.0452,38.11,42037,,,,,2026-01-22T15:37:01.119529
django__django-10914,0,planning,1769096206.2822983,1769096221.443301,15.161,273,581,0.0471,38.44,42037,,,,,2026-01-22T15:37:01.562994
django__django-11039,0,planning,1769096210.2806175,1769096221.8510785,11.5705,248,428,0.0447,37.13,42037,,,,,2026-01-22T15:37:01.927233
astropy__astropy-7746,0,planning,1769096205.4285462,1769096222.858162,17.4296,635,664,0.0722,38.25,42037,,,,,2026-01-22T15:37:02.984242
django__django-11019,0,planning,1769096209.2793877,1769096224.5199423,15.2406,456,560,0.0439,36.85,42037,,,,,2026-01-22T15:37:04.590395
astropy__astropy-14182,0,coding,1769096212.9795413,1769096224.746345,11.7668,1023,417,0.0948,35.73,42037,,0.0616,,,2026-01-22T15:37:04.812631
django__django-11099,0,planning,1769096212.2788467,1769096224.75372,12.4749,229,443,0.0643,35.7,42037,,,,,2026-01-22T15:37:04.833370
astropy__astropy-14182,0,debugging,1769096224.8152544,1769096225.0016446,0.1864,1464,1,0.1561,33.03,42037,,0.0689,True,,2026-01-22T15:37:05.096854
django__django-11049,0,planning,1769096211.2868483,1769096225.8464365,14.5596,227,520,0.0497,35.84,42037,,,,,2026-01-22T15:37:05.918901
django__django-10924,0,planning,1769096207.283495,1769096225.85275,18.5693,233,685,0.0434,36.98,42037,,,,,2026-01-22T15:37:05.962040
django__django-11179,0,planning,1769096214.2866395,1769096227.6874614,13.4008,126,467,0.0447,34.97,42037,,,,,2026-01-22T15:37:07.751617
django__django-11001,0,coding,1769096221.1203496,1769096228.0637264,6.9434,1021,226,0.1142,33.09,42037,,0.1189,,,2026-01-22T15:37:08.174405
django__django-11001,0,debugging,1769096228.1751647,1769096228.3413115,0.1661,1271,1,0.1284,26.51,42037,,0.1114,True,,2026-01-22T15:37:08.458170
astropy__astropy-14995,0,coding,1769096217.0901268,1769096228.5679178,11.4778,1322,385,0.1472,33.98,42037,,0.0629,,,2026-01-22T15:37:08.640421
astropy__astropy-14995,0,debugging,1769096228.6410425,1769096228.8048394,0.1638,1731,1,0.1242,25.24,42037,,0.0731,True,,2026-01-22T15:37:08.843927
django__django-10914,0,coding,1769096221.563714,1769096229.6139512,8.0502,821,262,0.1118,33.0,42037,,0.1204,,,2026-01-22T15:37:09.727263
django__django-11422,0,planning,1769096216.2800515,1769096229.755203,13.4752,260,455,0.0497,33.89,42037,,,,,2026-01-22T15:37:09.833279
django__django-10914,0,debugging,1769096229.7280703,1769096229.9242017,0.1961,1107,1,0.1217,13.43,42037,,0.1141,True,,2026-01-22T15:37:09.968239
astropy__astropy-12907,0,coding,1769096212.4512312,1769096229.9545453,17.5033,853,604,0.1139,34.73,42037,,0.0759,,,2026-01-22T15:37:10.051283
astropy__astropy-12907,0,debugging,1769096230.052213,1769096230.2614594,0.2092,1481,1,0.1751,29.3,42037,,0.0977,True,,2026-01-22T15:37:10.376917
django__django-11133,0,planning,1769096213.2786689,1769096230.4442801,17.1656,246,591,0.0488,34.53,42037,,,,,2026-01-22T15:37:10.506405
django__django-11283,0,planning,1769096215.2796965,1769096232.9447634,17.6651,328,597,0.0857,33.96,42037,,,,,2026-01-22T15:37:13.028697
django__django-11099,0,coding,1769096224.834257,1769096233.0504816,8.2162,639,267,0.1324,33.03,42037,,0.0805,,,2026-01-22T15:37:13.128806
django__django-11099,0,debugging,1769096233.1293492,1769096233.2837868,0.1544,930,1,0.1156,25.75,42037,,0.0789,True,,2026-01-22T15:37:13.400873
django__django-11039,0,coding,1769096221.9339817,1769096233.6484654,11.7145,643,382,0.0808,32.84,42037,,0.0829,,,2026-01-22T15:37:13.772547
