task_id,iteration,agent,start_time,end_time,latency,input_tokens,output_tokens,first_token_latency,decode_speed_tps,gpu_memory_mb,transition_time,success,error_msg,timestamp
astropy__astropy-12907,0,planning,1768805896.0509365,1768805909.2877977,13.2369,388,470,2.7094,44.65,42095,,,,2026-01-19T06:58:29.393875
astropy__astropy-12907,0,coding,1768805909.3959434,1768805920.8655539,11.4696,823,515,0.0943,45.27,42095,0.1081,,,2026-01-19T06:58:40.936458
astropy__astropy-12907,0,debugging,1768805920.9379523,1768805921.0938911,0.1559,1362,1,0.1318,41.37,42095,0.0724,True,,2026-01-19T06:58:41.165352
astropy__astropy-14182,0,planning,1768805921.1700692,1768805932.0001667,10.8301,575,488,0.0687,45.35,42095,,,,2026-01-19T06:58:52.085457
astropy__astropy-14182,0,coding,1768805932.0867536,1768805940.1417446,8.055,1028,353,0.1048,44.4,42095,0.0866,,,2026-01-19T06:59:00.230425
astropy__astropy-14182,0,debugging,1768805940.2319956,1768805940.3918867,0.1599,1405,1,0.1355,41.06,42095,0.0903,True,,2026-01-19T06:59:00.443487
astropy__astropy-14365,0,planning,1768805940.4480631,1768805948.536794,8.0887,511,357,0.0645,44.49,42095,,,,2026-01-19T06:59:08.609451
astropy__astropy-14365,0,coding,1768805948.6109135,1768805957.7849631,9.174,833,403,0.0951,44.39,42095,0.0741,,,2026-01-19T06:59:17.853416
astropy__astropy-14365,0,debugging,1768805957.854828,1768805958.0088465,0.154,1260,1,0.13,41.57,42095,0.0699,True,,2026-01-19T06:59:18.057240
astropy__astropy-14995,0,planning,1768805958.0615244,1768805969.5472395,11.4857,804,516,0.0894,45.28,42095,,,,2026-01-19T06:59:29.633427
astropy__astropy-14995,0,coding,1768805969.6356466,1768805975.3283954,5.6927,1285,251,0.127,45.1,42095,0.0884,,,2026-01-19T06:59:35.400868
astropy__astropy-14995,0,debugging,1768805975.4021766,1768805977.820221,2.418,1560,102,0.1528,45.03,42095,0.0738,True,,2026-01-19T06:59:37.889597
astropy__astropy-6938,0,planning,1768805977.8944802,1768805988.9248602,11.0304,184,492,0.0473,44.8,42095,,,,2026-01-19T06:59:49.018130
astropy__astropy-6938,0,coding,1768805989.0197587,1768805998.0594993,9.0397,641,399,0.077,44.52,42095,0.0949,,,2026-01-19T06:59:58.149749
astropy__astropy-6938,0,debugging,1768805998.1511476,1768805998.295595,0.1444,1064,1,0.1204,41.62,42095,0.0916,True,,2026-01-19T06:59:58.381544
astropy__astropy-7746,0,planning,1768805998.38584,1768806010.1747053,11.7889,635,531,0.0732,45.32,42095,,,,2026-01-19T07:00:10.258028
astropy__astropy-7746,0,coding,1768806010.2593856,1768806023.9943254,13.7349,1131,614,0.1206,45.1,42095,0.0847,,,2026-01-19T07:00:24.077498
astropy__astropy-7746,0,debugging,1768806024.0790222,1768806024.2678857,0.1889,1769,1,0.1649,41.77,42095,0.0847,True,,2026-01-19T07:00:24.316807
django__django-10914,0,planning,1768806024.3214967,1768806037.1209407,12.7994,273,579,0.0519,45.42,42095,,,,2026-01-19T07:00:37.206695
django__django-10914,0,coding,1768806037.2081735,1768806046.733306,9.5251,819,427,0.0944,45.28,42095,0.0872,,,2026-01-19T07:00:46.821595
django__django-10914,0,debugging,1768806046.822974,1768806046.9688034,0.1458,1270,1,0.1216,41.34,42095,0.0897,True,,2026-01-19T07:00:47.037733
django__django-10924,0,planning,1768806047.0419297,1768806061.7356904,14.6938,233,666,0.0481,45.47,42095,,,,2026-01-19T07:01:01.805362
django__django-10924,0,coding,1768806061.8066812,1768806069.622233,7.8156,866,349,0.0949,45.2,42095,0.071,,,2026-01-19T07:01:09.689795
django__django-10924,0,debugging,1768806069.6910925,1768806069.8370688,0.146,1239,1,0.1216,40.99,42095,0.0689,True,,2026-01-19T07:01:09.907959
django__django-11001,0,planning,1768806069.9123056,1768806082.829931,12.9176,571,581,0.0696,45.22,42095,,,,2026-01-19T07:01:22.902408
django__django-11001,0,coding,1768806082.9040504,1768806092.5371444,9.6331,1119,429,0.1202,45.1,42095,0.0741,,,2026-01-19T07:01:32.609216
django__django-11001,0,debugging,1768806092.6105273,1768806092.7880642,0.1775,1572,1,0.1535,41.64,42095,0.0734,True,,2026-01-19T07:01:32.876719
django__django-11019,0,planning,1768806092.8814292,1768806105.6972332,12.8158,456,578,0.0624,45.32,42095,,,,2026-01-19T07:01:45.765392
django__django-11019,0,coding,1768806105.766749,1768806117.175599,11.4089,1001,504,0.1006,44.57,42095,0.0695,,,2026-01-19T07:01:57.249313
django__django-11019,0,debugging,1768806117.2519026,1768806117.428515,0.1766,1529,1,0.1524,41.27,42095,0.0763,True,,2026-01-19T07:01:57.514794
